IdOeuf,Bubble,Bottom,Mid,Top,Victories,Height,Width,Ovoidity,ShellThickness,BubbleError,HeightWidthError,OvoidityError
1,27.0,0.39,0.42,0.4,1.0,,,,0.4033333333333333,1,0.01,
2,29.0,0.29,0.32,0.32,0.0,,,,0.31,1,0.01,
3,25.5,0.37,0.31,0.4,0.0,,,,0.36,1,0.01,
4,26.0,0.35,0.36,0.34,2.0,,,,0.35,1,0.01,
5,26.6,0.37,0.36,0.39,0.0,,,,0.3733333333333333,1,0.01,
6,24.0,0.35,0.39,0.39,4.0,,,,0.3766666666666666,1,0.01,
7,27.1,0.39,0.39,0.39,0.0,,,,0.3899999999999999,1,0.01,
8,28.6,0.36,0.37,0.37,1.0,,,,0.3666666666666667,1,0.01,
9,26.3,0.33,0.36,0.36,2.0,53.57,43.34,1.2360406091370555,0.3499999999999999,1,0.01,0.0005159299974935522
10,24.3,0.32,0.32,0.29,0.0,,,,0.31,1,0.01,
11,27.3,0.35,0.38,0.39,3.0,59.55,45.79,1.300502293077091,0.3733333333333333,1,0.01,0.0005024027720194565
12,28.75,0.37,0.4,0.38,0.0,54.5,43.79,1.244576387303037,0.3833333333333333,1,0.01,0.0005125773891991406
13,30.7,0.33,0.36,0.36,0.0,56.84,45.45,1.2506050605060506,0.3499999999999999,1,0.01,0.0004951826315744886
14,28.3,0.31,0.3,0.26,1.0,54.24,44.82,1.2101740294511378,0.29,1,0.01,0.0004931222734161396
15,28.9,0.34,0.31,0.3,0.0,55.12,44.47,1.239487294805487,0.3166666666666666,1,0.01,0.0005035950741635904
16,28.4,0.33,0.37,0.37,1.0,56.15,42.86,1.310079328044797,0.3566666666666666,1,0.01,0.0005389825777052723
17,29.23,0.34,0.31,0.37,,54.78,42.71,1.2826036057129475,0.34,1,0.01,0.0005344424269990511
18,29.14,0.29,0.31,0.3,0.0,56.35,44.64,1.262320788530466,0.3,1,0.01,0.0005067922913374699
19,25.42,0.33,0.34,0.32,1.0,53.39,43.17,1.236738475793375,0.33,1,0.01,0.000518123343941018
20,30.46,0.35,0.33,0.36,0.0,55.86,44.11,1.266379505781002,0.3466666666666667,1,0.01,0.0005138017469464977
21,29.65,0.39,0.39,0.4,4.0,54.29,42.23,1.2855789722945774,0.3933333333333333,1,0.01,0.0005412216368208802
22,31.31,0.27,0.29,0.33,0.0,54.03,45.99,1.1748206131767776,0.2966666666666667,1,0.01,0.00047288989197146717
23,29.71,0.33,0.33,0.33,2.0,54.62,45.18,1.2089420097388224,0.33,1,0.01,0.0004889203208806602
24,29.95,0.32,0.36,0.33,0.0,55.12,44.73,1.2322825843952605,0.3366666666666666,1,0.01,0.000499057139368491
25,28.02,0.33,0.32,0.32,1.0,54.37,44.36,1.2256537421100089,0.3233333333333333,1,0.01,0.0005017253701780904
26,28.55,0.37,0.35,0.35,2.0,55.94,44.72,1.2508944543828264,0.3566666666666666,1,0.01,0.000503330602500632
27,31.81,0.32,0.31,0.33,0.0,54.29,45.84,1.1843368237347294,0.32,1,0.01,0.00047651326870303863
28,28.81,0.31,0.33,0.34,0.0,55.55,44.12,1.2590661831368994,0.3266666666666666,1,0.01,0.0005120276933673843
29,29.6,0.28,0.3,0.26,1.0,54.02,43.26,1.248728617660657,0.28,1,0.01,0.0005198170637218348
30,26.65,0.33,0.3,0.35,0.0,54.25,44.13,1.2293224563788805,0.3266666666666666,1,0.01,0.0005051716420527714
31,29.84,0.3,0.28,0.34,1.0,55.09,44.44,1.2396489648964897,0.3066666666666667,1,0.01,0.0005039714142431346
32,31.5,0.32,0.32,0.32,0.0,53.9,43.94,1.2266727355484752,0.32,1,0.01,0.0005067530121867263
33,29.63,0.36,0.34,0.34,3.0,55.38,42.29,1.309529439583826,0.3466666666666667,1,0.01,0.0005461171528928413
34,32.58,0.31,0.33,0.34,2.0,57.25,44.16,1.2964221014492754,0.3266666666666666,1,0.01,0.0005200231207992019
35,30.36,0.34,0.31,0.33,0.0,53.26,44.27,1.203072057826971,0.3266666666666666,1,0.01,0.0004976444675461872
36,27.54,0.32,0.31,0.29,0.0,56.6,42.64,1.327392120075047,0.3066666666666666,1,0.01,0.0005458236679350486
37,28.97,0.28,0.29,0.32,1.0,54.87,43.94,1.248748293126991,0.2966666666666667,1,0.01,0.0005117770353042765
38,27.57,0.28,0.29,0.31,1.0,52.91,44.17,1.1978718587276431,0.2933333333333334,1,0.01,0.0004975938099904104
39,27.87,0.31,0.34,0.34,0.0,54.2,44.2,1.2262443438914028,0.33,1,0.01,0.0005036751909256567
40,25.05,0.31,0.33,0.32,0.0,54.23,44.38,1.221946822893195,0.32,1,0.01,0.0005006639979479935
41,22.74,0.31,0.31,0.34,3.0,52.72,43.32,1.216989843028624,0.32,1,0.01,0.000511770508547697
